bn,en
বিন্যাসের,binyaser
সম্ভাবনা,sambhabona
ফাংশনকে,functionke
কাউন্টি,couti
মিডলসেক্সের,midolsexer
খানকাহগুলোকে,khankahguloke
জাদুঘরে,jadu ghore
রূপান্তরের আদেশ,aadesh
দেন,dan
১৭ই,17
বাঙ্গি,bangi
জাম্পিংয়ের,jumpinger
হাকেট,haket
এডিসন,edison
ম্যাকু,mackyu
টাওয়ারে,towere
গিনেস,ginece
ভাঙেন,bhangen
ক্রান্তিকালে,krantikaale
সহাবস্থান,sahabosthan
বজায়ে,bojaye
সংস্থাগুলোকে,songosthaguloke
তৃতীয়,ditiyo
ক্যালিক্সটাস,calctus
ভোজবাজি,vojbaaji
কিউবান,quban
ফাইভের,fiver
দাবিতে,daabite
র‍্যালি,rally
হয়েছিল,hoye chilo
"১০, ০০০","10,000"
সম্বলিত,sambolito
পিটিশন,pitition
সংগৃহীত,sanggrihito
প্রৈতি,proiti
কোষ-আলোকামিতি,kosh-aalokamiti
যন্ত্র,jontra
দাতব্য,atobbyo
ব্যতিক্রম,baytikrom
প্রকাশ্য,prokashya
তথ্যতালিকায়,totthotalikay
স্তূপকে,stupke
খেমার,themar
রুজ,rooj
নরোদম,norodom
সিহানুক,sihanuk
উঙ্গার,ungar
ব্রিটেনে,britaine
মাতাপিতা,matapita
কনিষ্ঠ,konistho
ভাইএর,bhaier
অভিমুখিতা,abhimukhita
বরঞ্চ,boroncho
লিঙ্গের,linger
বর্ণালীর,barnalir
সর্বকামী,sorbokami
যৌনগত,jounogoto
ইউয়ান,uyan
ওয়াং,wyang
ফরম,forom
হালনাগাদের,haalnagader
ভৌগোলিক,vougolik
ভূরাজনৈতিক,bhurajnoitik
সঙ্গতিপূর্ণ,songotipurno
এম)-এর,m)-er
জড়িত,joriye
ট্রাইপস,traips
গণনাট্য,gononattyo
সংঘে,sanghe
ভারতিয়,bharatiyo
আব্দুল্লাহ,abdulah
ইউসুফ,iusuf
সুলেমান,suleman
সংেগ,shonge
পুরা,pura
খেলাফাত,khelafat
ঘুরতেন,ghurten
১৯২০ সাল,1920saal
নাগাদও,nagado
মাশাদ,mashad
তাদেরও,taadero
জাদিদ,jadid
যাদের,jaader
জোর,jore
ইসলামে,islame
ধর্মান্তরিত,dharmantorito
আনুগত্য,aanugottyo
বজায়,bajay
মূল্যবোধ,mullyobodh
value,value
system,system
আবেগ,aabeg
আচরণকে,aachoronke
সারাহ্‌,sarah
এরাতোস্থেনিস,eratosthenis
পূঃ,pu
১৯৫/১৯৪,195/194
পূঃ)তাঁর,pu:) taar
ভূগোলে,vugole
ভূখণ্ডটিকে,bhukhondotike
এরিয়ানা,eriyana
সুবিন্যস্ত,subinosyto
মাংসপেশী,mangshopeshi
বয়স্ক,boyoshko
পশম,poshom
আঁশ,aash
পরবর্তীতে,poro bortite
বিএসডি,bsd
মুকাল্লা,mukalla
নিউক্লিয়াস,newclius
হাডরামউট,hudramut
বিশ্ববিদ্যালয়,biswobidyala
দপ্তর,daftar
রিসোর্টস,risorts
নেচার,nature
লিমিটেড-যা,limited-ja
৪টি,4 ti
রিসর্ট,risort
লাভের,laaver
সই,soi
নির্বাসনে,nirbasone
অঙ্ক,anko
অন্যতম,annyotomo
নীতি-নির্ধারণী,niti-nirdharoni
নক্সা,naksha
পঙ্গুত্বে,pongutte
বরণকারী,baronkari
পরিবহণ,poribohon
স্বাভাবিকভাবে,swavabikbhabe
নওফেল,nwfel
বনি,boni
হাশেমের,hashemer
আবদে,abbde
শাসমের,shashomer
সহায়তার,sohayotar
অঙ্গীকার,aswikar
গৃহবন্দী,grihobondi
বিরোধীদলীয়,birodhidoliyo
নেত্রী,netri
অং,ong
সু,su
চিকেও,chikeo
বর্গি,borgi
সম্ভ্রমহানি,somvromhani
আরেকজন,aarekjon
বর্মী,barmi
অক্ষরে,akkhore
অত্যধিক,aatyodhik
পীড়নকারী,pironkari
ব্যাধী,baayadhi
খাঁটি,khati
গ্রাম্য,grammo
সমতট,somotot
গ্র্যান্ড,gland
এসেম্বলি,assambly
মার্শাল,marshal
পদোন্নতি,podonnoti
দেয়া,seoya
গাজি,daji
কোচের,coatcher
প্রসঙ্গ,prosonggo
হিজাব,hijab
চাপ,chaap
জানজিবারের,janjibarer
হওয়ার,ahoayar
মাসিয়াহ-তে,masiyaho-te
বিশেষজ্ঞের,bishesogger
একজনকে,ekjonke
অস্ত্র,ashtro
এসএলআর,slr
গ্রেনেড,grenade
শহরেই,shohorei
অ্যাথেন্সের,aayathencer
গ্রীষ্ম,grismo
অলিম্পিকে,olimpice
ফেলপস,fleps
শূন্যস্থানের,shunnyosthaner
তাত্ত্বিক,tattik
বুদ্বুদ,budrud
নিউক্লিয়েশন,newcliyetion
আওতাধীন,aawtadhin
৬নং,6number
ভবিষ্যতের,bhobishyter
উডফুলের,udfuler
৩১৫,315
কয়লাচালিত,koylachalito
রেলগাড়ি,railgari
বেদ,bayd
সত্যবিদ্যার,sottyobidyar
বেদের,beder
শ্রবণ,srobon
শ্রাবণ,srabon
সবল,sobol
আর্যের,aaryer
পরম,parom
রাবারের,rubber er
শক্ত হয়,shokto
লাইনটির,linetir
প্রথানুযায়ি,prokhanyujayi
সহকারীর,sohokarir
সহায়তায়,sohoyotay
সন্নাসীর,sonnyashir
বয়োজেষ্ঠ,boyojeyshtho
সন্নাসী,sonyashi
ঘন্টাব্যাপি,ghantabyapi
ক্ষুদিরাম,khudiram
স্টেডিয়ামটি,stediumti
আল,aul
কুবা,kuba
আল জাবিয়া,aul
হোম-ভেণ্যু,home- venyu
অর্ধেক,ardhek
খেলেনি,kheleni
ডিপিএমএম,dpmm
ফুটবল,fottball
রেকর্ডসংখ্যক,recordsongkhok
৩৫২,352
ইনিংস,ininings
পরিবহণ,poribaran
মঙ্গোলিয়ার,mongoliyar
গবাদি,gobadi
নির্ভর,nirvir
অর্থনীতিকে,arthonitike
ধনীদের,dhonider
বিহারগুলোর,bihargulor
অত্যধিক,attodhik
করাররোপ,korarrop
লক্ষ্যবস্তু,lokkhyobostu
জীবনযাপনে,jibonjapone
মঠ,moth
ডেমি,demi
লোভাটো,lovato
আমাকে,aamake
সুন্দর,sundor
মুসলিমরা,mushlimra
খিলাফতের,khilafater
চাকিংয়ের,chakingyer
অভিযুক্ত,abhijukto
আম্পায়ার,ampier
জোনাথন,jonadhon
সুইফটের,swifter
গালিভারের,galibharer
ভ্রমণকাহিনীর,vromonkahinir
প্রেরণাস্থল,preronasthol
ডাবল,dubble
স্ট্র্যান্ড,stand
ভাঙনের,bhngoner
স্ট্র্যান্ডই,strandi
ক্ষতিগ্রস্থ,khotigrostho
ফাঁস,faash
বাহিনী,bahinir
আটক,aatok
গন্তব্যে,gontybbo
পৌছানোর,pouchanor
ভাল্ডমারকে,bhandmarke
হত্যার,hottyar
পথচারী,pothchari
আইনী,aaini
জয়কৃষ্ণ,joykrishno
মুখার্জ্জীকে,mukherjeeke
রক্ষণশীলদের,rokkhonshilder
নেস্টর,nestar
মেধা,medha
শ্রম,srom
ব্যক্তিকে,baktike
পেরেছে,pereche
কৃতী,kriti
দানবীর,danobir
চালনার,chalonar
আম্বিকা,ambika
পদার্থটির,podarthotir
রেটিন্যাপথা,retinapontha
নবাবগঞ্জ,nababganj
লৌহজং,louhojong
লোহাজং,lohajong
টেওটিয়া,teotiya
পদ্মা,padma
নদীতে,nadite
নিপতিত,nipotito
ফেয়েনুর্ড,feyenurd
আঙ্কারাগুচু,ancharaguchu
গুনার,gunar
গাছে,gache
চলাফেরার,cholaferar
মন্তপার্নাস,montopanars
সমাধিতে,samadhite
রহমানকে,rehmanke
সিলভিয়া,silviya
কুইন্টেলা,quitenla
স্বৈরশাসক,swiroshashok
অপহরণের,apohoroner
অনেকগুলো,anekgulo
অন্তরীণ,antorin
অমান্য,amanyo
নেতাজীর,netajir
মিছিলে,michile
লাঠিচার্জ,lathicharje
নেতাজীকে,netajike
হয়েছিলে,hoyechilen
সত্রে,sutre
পদসমূহ,podosomuho
হ'ল,holo
মহাজাগতিক,mahajagotik
প্রশম,proshom
ক্যাওন,kayon
সংস্থায়,songosthay
সিপি-অমান্যতার,sipi-amannyotar
গেরিলা,gerila
শামিল,shamil
বাসায়েভ,basayev
মৃত্যুসংবাদ,mrityusangbad
শোধন,shodhon
বিসমাথ,bishmath
অনেকটাই,anektai
আচরণ,aachoron
জননীতি,jononito
জনকল্যাণ,jonokalyan
কতিপয়,kotipoy
রাজ্যের,rajjyer
আয়তনের,aayotoner
উৎপাদিত,udpadito
লখপুর,lokhpur
মোঃ,mo
কালাম,kalam
আজাদ,ajhad
লেকচারার,lecturerr
তেজ,tej
প্রকাশ,pratap
বিশ্ববিদ্যালয়,biswabidyalaya
নিম্নভাগে,nimnovage
ছোট-আকৃতির,choto-aakritir
গহনাকে,ghohonake
নোলক,nolok
হোরাস,horus
শু,shu
টেলিকম,telicom
অপরিশোধিত,aporishodhito
বিসমাথে,bishmathe
সীসা,sima
খবিরের,khabirer
লাশ,lush
ইচ্ছাপ্যারি,icchapayari
নাগিন,nagin
আতার,aatar
শাঁস,shash
মিস্টি,misti
ব্রাই,brai
শিবরাইকে,shibraike
প্ররার্থনা,prarthona
হ্যাট্রিক,hatric
ফিকশন,fiction
ফাঁকটি,faakti
জিও,jio
বিশ্ববিদ্যালয়ের,biswobidyalayer
অনুষদ,anushod
ভিক্তিক,vittik
৮০০-এরও,800-ero
হুয়াংয়ের,huyanger
সৈন্যবাহিনীকে,soinobahinike
কাইফেংয়ের,kaifenger
প্রধানমন্ত্রীঃ,prodhanmontri
১৫আগস্ট,15 august
শাস্ত্রানুযায়ী,shastranujayi
সাবালকত্ব,sabalokotto
অনুসৃত,anusrito
হিন্দুগণ,hindugon
তর্কযুদ্ধই,torkojuddhoi
খুলনার,khulnar
স্বকীয়তা,swakiyota
রিয়ার,riar
এডমিরাল,edmiral
মোহাম্মদ,mahommod
সমন্ব্য়,somonnyo
আগত,aagoto
গণ্যমান্য,gonnyomannyo
অতিথিরা,atithira
কলসি,kolshi
পাওনাদার,paonadar
হাত,haath
বাঁচতে,bachte
ঝাঁপ,jhaap
আত্মহত্যার,aatmohottar
টাকা,taaka
পারেন,paaren
ফ্র্যাঙ্কো-বেলজিয়াম,frankyo-beljium
কমিক্স,commics
টিনটিন,tintin
ঔমপাহ-পাহ,oimpaho-paho
মোহাম্মদ,mohommad
নেতৃবর্গের,netriborger
ভিয়েনা,viyena
অসংখ্য,asongkhyo
দ্বারপালকে,daarpalke
দেন,dayn
অজ্ঞাতসারে,aggatosare
যজ্ঞস্থানে,joggosthane
শরীরই,shoriri
উপজাতির,upojato
ক্ষত্রিয়,khotriyo
পাঁচ,paach
অনেকে,anek
সফটওয়ার,software
ইফেক্টের,effecter
অ্যানালগ,analog
ইফেক্ট-এর,effect-er
আমেজ,aamej
আনা,aana
ইউনিয়নসমূহ,unionsomuho
ব্যানারম্যান,bannerman
হঃ- পী।র,h:-pe. r
সোনাকান্দা,sonakanda
দারুল,darul
মৌনী,mouni
কর্মস্থল,karmosthol
দীর্ঘক্ষণ,dirghokkhon
সল্প,swalpo
অসন্তোষ,asontosh
সেটার,setar
রসগোল্লার,rosogollar
তা,taar
অ্যান্টার্কটিকায়,antartikay
ভারতী,bharatiyo
টকিজে,talkiese
জ্যেষ্ঠ,jeystho
কর্মরত,karmoroto
ভগ্নিপতি,vognipoti
শশধর,shashadhar
মুখোপাধ্যায়ের,mukhopadhayar
১৯৩০-এর,1930-r
শিক্ষার,shikhhar
বিএসপিতে,bspte
মায়াবতীর,mayabotir
বিএসপি,bsp
যাওয়ার,jaoyar
পেছনে,pichone
তাকিয়ে,taakiye
রিকশা,ricksha
অন্যতম,annyo tomo
রেল এর,railer
ব্যস্ত,baysto
রেইমন্ডের,raymonder
এসিভা,esiva
ভেতর,vetor
আবদ্ধ,aaboddho
সর্বদা,sarboda
উল্টোটিও,ultotio
সালে,aale
ইয়েমেন,yemene
একত্রিত,etotrito
দ্বীপটিও,diptio
ডেড,died
পোয়েটস,poets
মর্নিং,morning
সিনেমাতে,cienemate
অনবদ্য,anobodyo
অস্কারের,askarer
রবিন,rabin
১৫৬৪,1564
বার্মিজ,barmij
বায়িন্নাউং,biyinnayung
ত্রিশটি,trishti
চিনি-বিহীন,chini-bihin
পরিপূরক,poripurok
জাইলিটল,ilital
সহযোগে,sohojoge
প্রস্তুতকৃত,prostutkrito
দাঁতের,daater
গর্ত,garto
দন্ত,donto
কমায়,komay
৪০-এর,40-er
কোটা,kota
গবেষণা,gobeshonar
জাদুঘর,jadu ghor
প্রথম জাদুঘর,prothomjadughor
ডাব্লিউডাব্লিউইর,wwr
২৬তম,chabbishtomo
ট্রিপল,triippol
ক্রীড়াসূচির,crirasuchir
মেইন,mail
বর্ষারাণী,barsharani
বিষয়া,bishoya
ইবনে,ebone
আল-মুকাদ্দিমায়,aal- mukaddimay
নামকরণে,namkorone
মন্থরা,manthara
দশরথের,dashrather
স্ত্রী রাণী,stree
পিত্রালয়,pitra lay
কুব্জা,kubja
আসেন এবং,aasen
পরিবারের,pori barer
দাউদকান্দি,daudhkandi
চান্দিনা,chandina
বেবি,baby
বার্নার্ডো,barnado
সন্তানদের,santander
আকর্ষিত,aakorshito
চার্লি,charly
চ্যাপেলিন-ভাঁড় নয়,chaplin bhaar-noy
ভব,bhobo
ইরানে,irane
শাহনায,shahnaj
ত্যাগ,tayg
সুইজারল্যান্ডে,switjerlande
পরিবর্তন,poribortito
পারফেট্টি,parfetti
ওয়ার্নার,warnar
অন্টারিওর,antarior
সুপ্রিয়া,supriya
গো-রাম্স-পা-ব্সোদ-নাম্স-সেং-গে,go-pa-beswd-nanse-seng-gye
ধর্মসম্প্রদায়ের,dharmasomprodayer
দীক্ষালাভ,dikkhalaav
শ্রীধর,shridhar
আচার্যের,acharyar
গনিততিলক,ganittilok
স্তবকের,stoboker
অসম্পূর্ণ,asompurnyo
তুরষ্কের,turosker
জানজিবার,janji bar
ও ক্রিয়া,o
মন্ত্রণালয়,montronalaya
খেলতো,khelto
অগ্নিঘটনার,agnighotonar
নিরূপণ,nirupon
তরফ,torof
উদ্যোগ,uddyog
ইলিয়াস,elius
কোরে,core
রসায়নে,rasayane
গামবিয়া,gam biya
সেনেগাল,senegal
সচিত্র,swachitro
সন্ধানীতে,sondhanite
কলেরার,cholerar
টিকা,tika
উন্নয়নে,unnyone
"ইটিইসি,টাইফয়েড","etec, typhoid"
হেলিকোব্যাকটের,helicobackter
পলরি,polry
রোটা,rota
সংক্রামক,songkramok
বিশেষজ্ঞ,bishesoggyo
হ্যাট,hat
লিনাক্স,linax
টেলিভিশনের,telivisioner
নাটক-টেলিফিল্ম,natok-telifil
যাঁরা,jaara
অস্ত্র,asttro
তাঁদেরই,taaderi
গণ্য,gionnyo
ফুসকুড়ি,fushkuri
ইলিয়েনা,iliena
ক্রুজ,cruze
ব্যস্ততম,baystotomo
কন্টেইনার,conteinar
দালান,dalan
উবোসোটটি,ubosotti
স্টকটন-অন-টিসে,stokton-aon-tise
বেকারত্ব,bekarotto
ত্যাগ,tayag
মোক্ষ,mokhho
নির্বাণ,nirban
স্বল্প-সুস্থিত,swalpo-susthito
ইন্সট্যান্টন,instaptan
স্কুলজীবন,schooljibon
মাল্টিপারপোস,mulperpose
যোগময়,jogmaya
শিক্ষা,skhikha
বিজয়,bijay
লাউড়,laud
জগন্নাথপুর,jogonnathpur
রাজ্যের,rajjey-er
ইনানো,enano
সড়কটি,sodokti
ছত্তিশগড়,chhattisgarh
খড়গপুর,kharagpur
সিনেমা,cienema
বিয়ের,bisesh
বহুবার,bohubaar
কালু,kalu
ফকিরপাড়া,fakirpara
বক্সারের,boksarer
তদান্তিন,todantin
শেখ,shaikh
বাকশাল,bakshal
ভিজে,vije
অনেক,aanek
মিলেমিশে,milemishe
জলপান,jolpaan
ধনাঢ্য,dhonadhyo
ব্যবসায়ী,babosayi
মাওলানা,maolana
খাঁর,khar
পিতৃবন্ধু,pitribondhu
আলতাফী,aaltafi
প্রেসে,presse
মোহাম্মদী,mohammodi
মুদ্রণের,mudroner
দেন,dayan
সুবান্দিয়ার,subandiyar
অত্যাচারী,attyachari
রীতিমতো,ritomoto
আঁচরে,aachore
কতগুলো,kotogulo
পরতে,porote
অপেশাদারী,apeshadari
মুঘাম,mugham
শিল্পী,shili
খ্যাতি,khayati
আজারবাইজান,ajarbaijan
ফিলহরমনিস,philharmanish
গোলাগুলির,golagulir
উদ্ধারে,uddhare
সালতো,salto
লক্ষ,lokkhyo
পনেরজন,ponerojon
কুস্তিগিরের,kustigirer
আর্মেনিয়ার,aarmeniyar
যেটি,jeto
গণহত্যার,gonohottar
ঐতিহ্যবাহী,oittijyobahi
উদ্যোক্তাদের,uddoktader
ডানহাতে,daanhaate
অফব্রেক,ofrake
হুইটেকার,huitacar
বক্সা,boksha
কক্সবাজার,koksbazar
জীবদেহের,jib deher
প্রতিক্রিয়া,orotikriya
করে সে,korese
ফার্মাকোলজি,fermacology
আলোচনা,aalochona
পড়েই,porei
কান্নায়,kannay
ভুপতি,bhupoti
১৯৮২সাল,1982 saal
পদার্থবিজ্ঞানের,podarthobigganer
অধ্যাপকের,addhyapoker
সড়কটি,shohorti
মোটভ্যালির,motvallyr
জোসেফ,josef
প্রকৌশলের,prokousholer
ইন্সট্রাক্টর,instractar
আলহাজ্ব,aalhaj
মোফাজ্জাল,mofajjal
হোসাইন,hossain
কায়কোবাদ,kaykobaad
উপমন্ত্রী,upomantri
আগা,aaga
আমলে,aamole
বাউফল,baufol
একতারিনা,ektarina
পেত্রোভনা,petrovana
স্পাস্কায়া,spaskaya
বিদ্যালয়ের,bidyalayar
শিক্ষিকা,shikhika
তাহার,tahar
জানি,jaani
যুদ্ধপরবর্তী,juddhoporoborti
ইতোমধ্যেই,itimoddhei
লরেন্সের,lorancer
উদ্দেশ্যে,uddhessye
দেওয়ার,deoyar
নেয়ার,neoyar
প্রয়োজনীয়তাও,proyojoniyotao
বৈশিষ্ট্যমূলক,nboishisthomulok
হ্রস্ব,hroswo
মৌলকে,mouloke
বুঝিয়েছিলেন,bujhiyechilen
আইন,aail
ত্রিনিদাদের,tinidader
টিস্যুতে,tissute
সমস্যার,somossyar
রসে,roshe
ডোবানোর,dobanor
ছানাকে,chanake
ছানাই,chanai
ডোবানো,dobano
প্রতিবন্ধীগণের,protibonddhigoner
ক্রীড়াসূলভ,crirasulobho
সবশেষে,sobseshe
বরিশাল,barishal
লাভজনক,laavjonok
সহায়ক,sahayok
মজবুত,mojbut
কাল,kalo
আঁশমুক্ত,aashjukto
ওপর-পিঠের,opor-pither
পিছনের,pichoner
ডানায়,danay
পাড়,paar
নখের,nokher
চিড়িয়া,chiriya
অ্যাডিলেড,addyled
স্থাপত্যশৈলীর,sthapottosoilir
পাশ্চাত্য,paschattyo
সমাজগুলোতে,somajgulote
গণমাধ্যম,gonomaddhom
পোস্টার,poster
আঙ্গুলে,angule
অলংকারকে,alongkarke
দৃষ্টান্ত,drishtanto
দুররানি,durrani
গিলজাই,giljai
গোত্রীয়দের,gotriyoder
উত্তরাঞ্চলের,uttorancholer
উজবেক,ujbek
তাজিক,tajik
অধ্যুষিত,addhyushito
দারিভাষীদের,daribhashider
প্রেসিডেন্সি,pesidensy
উন্নতমানের,unnotomaner
ছিলনা,chilona
প্রকট,prokot
পিচে,pieche
যে-কোন,je-kono
ফাইটার,fighter
নাইয়ুকি,nayjuki
কোয়ানি,quany
সিসটার্স,sisters
বুঙ্গি,bungi
পুলিশওমেন,policewomen
চিকেন,chicken
প্রস্তুতিতে,prostutite
মিশ্রণটিকে,mishrontitke
১৮ই,18
মনোরথ,monoroth
ফলশ্রুতিতে,foloshrutite
শ্রীকৃষ্ণর,srikrishner
অনির্ধারিত,anirdharito
বায়ার্ন,bayarn
ভিএফএল,dfl
উল্ফসবার্গের,ulfsbarger
শেষের,sheher
সমুদ্রে,samudre
অভিযান,abhijaan
নাবিকেরা,nabikera
১৪৯৩,1493
হাইতি,haiti
প্যাসিওলা,pasywala
ফিরিঙ্গি,firingi
উপদংশ,upodongsho
গর্মি,garmi
সিফিলিস,sifilish
সংক্রামিত,songkramito
রোগের,rog er
জীবাণু,jibanu
রোগী,rogi
সম্ভাব্য,sombhabbyo
চিকিৎসার,chikitsar
জুলাইয়ের,julyer
পুণঃপ্রত্যাবর্তন,puno:protyabarton
লেবুজাতীয়,lebujatiyo
ছয়জন,choyjon
ইনোসেন্ট,innocent
হার্টস,hearts
হনুমানের,hanumaner
লম্বা,lomb
লেজ,alej
স্থানবিশেষে,sthanbishehe
গন্ধমাদন,gondhomadhon
পর্বত,parbot
দৃশ্য,drisshyo
অভিনীত,abhihito
সন্তোষ,santosh
শেলীর,shellyr
শেক্সপিয়রের,shakespearer
সনেট,sonet
পোষাকের,poshaker
এফ-৮৬,f-86
ভারতে,bharoter
উড্ডয়নে,ujjyone
নেন,neyan
বিসমাথ,nismath
পরামর্শ,poramarsho
ছাত্রলীগের,chatroleaguer
নেতা-কর্মীরা,neta-karmira
দেয়,deyay
নিমিষে,nimishe
এরিস্টটল,aaristotal
সুব্রত,subrata
গোলরক্ষক,golrokkhok
পেশাগতভাবে,peshagotobhabe
একতলায়,ektalay
রত্নবেদীটি,ratnobediti
১০৮টি,108ti
শালগ্রাম,shalgram
শিলার,shilar
অন্যের,anner
দূর্ভোগের,durvoger
আনন্দিত,anondito
একঝাঁক,ekjhaak
কবুতরকে,kabutaarke
দেয়,dyay
দিচ্ছিলো,dicchilo
সেতুর,setur
চলন্ত,cholonto
যানবাহনে,janbahone
দূর্ঘটনা,durghotona
গণশৌচাগারে,gonosouchagare
আগুন্তুককে,aguntukke
মেঝেতে,mejhete
একাংশের,ekangsher
মারেন,maren
অডিটোরিয়ামে,auditoriume
ইউরোর,iuror
মুদ্রার,mudrar
শহরসমূহের,shohorsomuher
এম্বলেমাতিক,embolematik
মিয়ানমার,miyanmar
ভিয়েতনাম,viyetnam
আছেই,aachei
পাখিটি,pakhiti
দ্বীপেও,dipeo
ল্যাচলান,lyachlan
ম্যাকুয়ারি,macyuari
পরবর্তী,porobortite
ওয়েলসের,welser
১৮১০-১৮২১,1810-1821
হাউসে,house
২০১১-এর,2011-r
অনুচ্ছেদ,anuchhed
১-এ,1-e
ওয়েলস-এ,weles-e
সংজ্ঞা,songga
সমন্বয়কারী,somonnoykari
বর্ধমানে,bardhomane
করেন,korten
টলুইন,toluin
অজৈব,ajoibo
সালফার,sulfer
আয়োডিন,ayodin
উতবা,utba
রাবীয়ার,rabiyar
বিনতে,binote
উতবার,utbar
ত্যাজ্যপুত্র,tyajyoputra
অন্যভাবে,annyobhabe
এসকল,eskal
উপাদানকে,upadanke
গহনাও,gohonao
বাশঁ,baash
একদম,ekdom
পরিমাণের,porimaner
আঙটি,angti
ঐক্যজোট,oikyojote
নির্বাচনটি,nirbachonti
সত্যহিতের,sottohiter
সুধানভান,sudhanvan
সুধর্মন,asudhormon
ধনুশের,dhanusher
ধর্মত্তম,dharmattomo
গণিতকে,gonitke
পেতাম,petam
রসদ,roshod
রক্তপাতহীন,roktopathin
আত্মসমর্পণ,aatmosomorpon
দ্বিধান্বিত,didhannito
সেবছরের,sebochorer
প্রধানমন্ত্রী,prodhanmotri
জিওভান্নি,jiovanni
জিওলিত্তি,jiolitti
শক্তিগুলোর,shoktigulor
উদ্ভাবন,udbhobon
নেপলস,nepols
দাহ্য,dajjyo
পরিশেষে,poriseshe
হাইড্রোজেন,haidrojen
ব্যবস্থাটি,babosthati
জাকব,jacob
রোস্টেড,rosted
হোম্বের,howsher
গনিত,gonit
পড়েছিলে্‌ন,porechilen
ক্রিস্টোফার,chrishtofer
আন্দ্রিয়া্‌কে,andriyake
পদটি,podti
আমন্ত্রন,amontron
জানিয়েছিলেন,janiyechilen
ভাষাতত্ত্বে,bhashatotte
সিদ্ধান্ত,siddhantyo
জলভর্তি,jolvorti
আমসরা,aamsora
পদ্মফুল,padmaful
মামুন,mamun
মজুমদারকে,majumdarke
মিনিটের,minituer
তথ্যচিত্র,totthochitro
শিল্প,shishu
সংস্কার,sonogskar
গণস্বাক্ষরতা,gonoswakhorota
অভিজ্ঞতাকে,abhijoggotake
আহ্বানের,ahbaner
আহ্বান,ahban
চতুর্ভূজা,choturbhuja
দেবীমূর্তির,devimurtir
কর্তরি,kortori
খড়্গ,khorgo
কপাল,kapal
অভয়মুদ্রা,avoymudra
গোঁসাই,goshai
রামপ্রসাদের,ramprosader
প্যারোডি,parady
করে,akore
মাউন্ট,maunt
ইসা,isha
বসনিয়া,basoniya
হার্জেগোভিনা,harjegovina
ফারদিন,fardin
এ্যাক্সেসরিজ,accessories
বাংলাদেশ)-হ্যাংগার,bangladesh)-hangar
পলিথিন,polithin
সুতার,sutar
কোন,kone
গার্মেন্টস,germents
নিশেন্দ্রনাথ,nishendranath
সঙ্গীতশিল্পী,sangitshilpi
মণিমালা,monimala
ভান্সিটার্ট,vancytart
বিরূদ্ধে,biruddhe
চট্টগ্রামের,chottogramer
কর্ত্তাকে,kortake
মহাবিদ্রোহ,mahabidraho
দমিত,domito
আলেয়ার,aleyar
উজ্জয়িনী,ujjyoni
বংশওয়াড়ায়,bonshowayaray
ইংরেজের,engrejer
চোখে,chokhe
ধুলো,dhulo
পালিয়েছেন,paliyechen
ক্ষেত্রবিশেষে,khetrobisheshe
দীর্ঘতর,dirghotoro
জন্যেও,jonneo
পুনর্নিয়োগ,puniyog
আদেশ,aadesh
হাইপোথাইরয়েডিজমে,hypokhairjedijome
ভুগছেন,vugchen
বাড়ার,barar
কন্যারূপে,konnarupe
দেন,deyan
ফ্যাশনের,fashioner
দেলোয়ার,delowar
কারখানা,karkhanr
সাতটি,saaatti
লাগল,laglo
লটাখোলা,lotakhola
জগদীশ,jagodish
জেভিয়ার্স,jeviyers
ব্রাহ্মণীর,brahmonir
উপনদীগুলি,uponodiguli
ত্রিপিতা,tripita
গামারি,gumary
দ্বারকা,dwaroka
অনুযায়ী,anujayo
রসিককৃষ্ণকে,roshikkrishnoke
মোকদ্দমাতে,mokoddomate
গোলাকার,golakaar
সত্যের,sotter
নির্ভীক,nirvik
শ্লোগান,slogaan
সাহসী,sahosi
রিপোর্ট,riport
শরণ,shoron
"ও ""ভজন","o"" vojon"
প্রত্যক্ষ,prottokho
তত্বাবধানে,tottabodhane
একজনরূপে,ekjonrupe
অভিবাসন,abhibason
ইলি-ই,ili-i
বার্চ,barch
কষ,kosh
গামে,gume
দাঁতের,datter
ছাপের,chaper
পশ্চিমাংশে,poschimangshe
ডাটার,datar
রয়েছেঃ,royeche
বিভিন্নতা,bivinnota
যোগকৃত,jogkrito
ভারসাম্য,bharsammyo
আশ্রাফপুরেই,aasrafpurei
আবিস্কৃত,abishkrito
গৌড়ের,gourer
নরপতি,naropoti
শাহেরপুত্র,saherputra
নসরৎ,nosrat
শাহের,saher
রাজত্বকালে,rajottokaale
অতিপ্রাচীন,atiprachin
সমীক্ষায়,somikkhay
সার্বিক,sarbik
লরা,lora
কোকা-কোলা,coca-cola
ভ্যাসিলিনের,vaseliener
বিজ্ঞাপন,biggapon
শিবমন্দিরগুলির,shibmondirgulir
লক্ষণীয়,lokkhoniyo
প্রথমেই,prothomei
সারি,sari
দেউল,deul
শ্রেণীবদ্ধ,shreniboddho
শিবলিঙ্গের,shiblinger
দেওয়ালে,deoyale
জানলা-দরজার,janla-darjar
বুঝি,bujhi
সত্যই,sottoi
ওগুলি,oguli
জানালা,janala
পাঁচিল,pachil
টিস্কা,tiska
সা-স্ক্যা,sa-syka
ধর্মসম্প্রদায়কে,dharmosomprodayke
ব্কা'-ব্র্গ্যুদ,bka-bragude
গানটির,gantir
৫৯,59
তম,tomo
